station_id,model,lead_hours,n_samples,bias_c,mae_c,rmse_c,error_std_c
EGLC,ecmwf_ifs025,168,84,-1.125,2.1583333333333337,3.0276306939664255,2.8277401680195666
EGLC,ecmwf_ifs025,180,83,-1.3987951807228916,2.683132530120482,3.45652865769196,3.180063428417266
EGLC,ecmwf_ifs025,192,83,-1.6096385542168674,2.52289156626506,3.499845091236268,3.126621119333345
EGLC,ecmwf_ifs025,204,82,-1.568292682926829,2.7170731707317075,3.655133376499413,3.3219018072457884
EGLC,ecmwf_ifs025,216,82,-1.7097560975609756,2.714634146341463,3.676258702646005,3.274503440108645
EGLC,ecmwf_ifs025,228,81,-1.8370370370370368,3.237037037037037,4.079427459222891,3.6650867808431373
EGLC,ecmwf_ifs025,240,81,-1.5271604938271603,3.1271604938271604,3.9921064089333735,3.711435448235595
EGLC,ecmwf_ifs025,252,80,-1.905,3.3899999999999997,4.292901116960417,3.8713455613902776
EGLC,ecmwf_ifs025,264,80,-1.71875,3.6762500000000005,4.608104273993808,4.302548369089467
EGLC,ecmwf_ifs025,276,79,-2.687341772151899,3.5025316455696203,4.653772119121096,3.8237237551963963
EGLC,ecmwf_ifs025,288,79,-1.70126582278481,3.9645569620253163,4.6802033927457,4.38790568789579
EGLC,ecmwf_ifs025,300,78,-3.278205128205128,4.311538461538461,5.340495991562716,4.243242065932986
EGLC,ecmwf_ifs025,312,78,-2.2858974358974358,3.7192307692307693,4.773014421376356,4.21714879857754
EGLC,ecmwf_ifs025,324,77,-3.0727272727272728,4.174025974025974,5.283372594662048,4.326133449399078
EGLC,ecmwf_ifs025,336,77,-3.116883116883117,4.428571428571429,5.63937916818841,4.730566968284218
EGLC,ecmwf_ifs025,348,76,-3.317105263157895,4.075,5.296113271964043,4.156068275277962
EGLC,ecmwf_ifs025,360,76,-2.835526315789474,4.346052631578948,5.45311354809535,4.688872044813292
EGLC,gfs_seamless,6,89,-2.8842696629213482,2.9359550561797754,3.296729738133251,1.6057353792807048
EGLC,gfs_seamless,12,89,-0.3000000000000001,0.8662921348314606,1.2339304152434696,1.203687516078669
